id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
34,GCH10COM*,OCGT,OCGT,PP,BO,55.97,0.35,1999,1999,2029,-17.7878307,-63.1526702,0,0,0,0,GCH-069_GCH10COM,Guaracachi GCH-069 GCH10COM
35,GCH11*,OCGT,OCGT,PP,BO,57,0.35,2007,2007,2037,-17.7866617,-63.1538432,0,0,0,0,GCH-069_GCH11,Guaracachi GCH-069 GCH11
36,GCH12*,OCGT,OCGT,PP,BO,79.81,0.35,2012,2013,2043,-17.787104,-63.152594,0,0,0,0,GCH-069_GCH12,Guaracachi GCH-069 GCH12
39,UNA01*,Bioenergy,Steam Turbine,PP,BO,35,0.31,2014,2014,2044,-17.1107808,-63.2482406,0,0,0,0,MIN-115_UNA01,Unagro MIN-115 UNA01
40,SBU01*,Bioenergy,Steam Turbine,PP,BO,5,0.31,2016,2016,2046,-14.3380748,-67.6181427,0,0,0,0,SBU-115_SBU01,San Buenaventura SBU-115 SBU01
41,AGU01,Bioenergy,Steam Turbine,PP,BO,12,0.31,2021,2022,2052,-16.857456,-63.2804035,0,0,0,0,MIN-115_AGU01,AGUAI MIN-115 AGU01
46,ARJ09*,OCGT,OCGT,PP,BO,1.49,0.35,2007,2007,2037,-19.0536237,-65.2839672,0,0,0,0,ARJ-069_ARJ09,Aranajuez ARJ-069 ARJ09
47,ARJ11*,OCGT,OCGT,PP,BO,1.49,0.35,2007,2007,2037,-19.0536517,-65.2839542,0,0,0,0,ARJ-069_ARJ11,Aranajuez ARJ-069 ARJ11
48,ARJ12*,OCGT,OCGT,PP,BO,1.6,0.35,2007,2007,2037,-19.0536857,-65.2839082,0,0,0,0,ARJ-069_ARJ12,Aranajuez ARJ-069 ARJ12
49,ARJ13*,OCGT,OCGT,PP,BO,1.55,0.35,2008,2008,2038,-19.0537387,-65.2838972,0,0,0,0,ARJ-069_ARJ13,Aranajuez ARJ-069 ARJ13
50,ARJ14*,OCGT,OCGT,PP,BO,1.51,0.35,2008,2008,2038,-19.0537807,-65.2838692,0,0,0,0,ARJ-069_ARJ14,Aranajuez ARJ-069 ARJ14
51,ARJ15*,OCGT,OCGT,PP,BO,1.6,0.35,2008,2008,2038,-19.0536027,-65.2840222,0,0,0,0,ARJ-069_ARJ15,Aranajuez ARJ-069 ARJ15
56,VHE05,OCGT,OCGT,PP,BO,9.79,0.35,2012,2012,2042,-17.4307587,-66.1180372,0,0,0,0,VHE-115_VHE05,Valle Hermoso VHE-115 VHE05
57,VHE06,OCGT,OCGT,PP,BO,9.79,0.35,2012,2012,2042,-17.4307307,-66.1179512,0,0,0,0,VHE-115_VHE06,Valle Hermoso VHE-115 VHE06
58,VHE07,OCGT,OCGT,PP,BO,9.79,0.35,2012,2012,2042,-17.4307307,-66.1179512,0,0,0,0,VHE-115_VHE07,Valle Hermoso VHE-115 VHE07
59,VHE08,OCGT,OCGT,PP,BO,9.79,0.35,2012,2012,2042,-17.4306717,-66.1177712,0,0,0,0,VHE-115_VHE08,Valle Hermoso VHE-115 VHE08
60,CAR01,OCGT,OCGT,PP,BO,49.76,0.35,1996,1996,2026,-17.2125958,-64.5319487,0,0,0,0,CAR-230_CAR01,Carrasco CAR-230 CAR01
61,CAR02,OCGT,OCGT,PP,BO,51.37,0.35,1996,1996,2026,-17.2126807,-64.5283102,0,0,0,0,CAR-230_CAR02,Carrasco CAR-230 CAR02
62,CAR03,OCGT,OCGT,PP,BO,21.81,0.35,2011,2011,2041,-17.2127937,-64.5280822,0,0,0,0,CAR-230_CAR03,Carrasco CAR-230 CAR03
63,ALT01,OCGT,OCGT,PP,BO,16.19,0.35,2012,2012,2042,-16.5654757,-68.1814272,0,0,0,0,KEN-115_ALT01,El Alto KEN-115 ALT01
64,ALT02,OCGT,OCGT,PP,BO,30,0.35,2013,2013,2043,-16.5653777,-68.1817352,0,0,0,0,KEN-115_ALT02,El Alto KEN-115 ALT02
65,BUL01,OCGT,OCGT,PP,BO,42.41,0.35,2000,2000,2030,-17.2423217,-64.5410832,0,0,0,0,CAR-230_BUL01,Bulo Bulo CAR-230 BUL01
