Components,Lost Load
"('-753810532_0', 'C34.0', 'C36.0', 'C64.0', 'C73.0', 'C76.0', '15 hydro')",0.06072246894451064
"('-753810532_0', 'C34.0', 'C36.0', 'C51.0', 'C64.0', 'C73.0', 'C76.0', '15 hydro')",0.07683650241935788
"('-753810532_0', 'C34.0', 'C36.0', 'C51.0', 'C64.0', 'C73.0', 'C76.0')",0.36043550210668335
"('-753810532_0', 'C34.0', 'C36.0', 'C51.0', 'C73.0', 'C76.0')",2.184017002090723
"('-753810532_0', 'C34.0', 'C36.0', 'C51.0', 'C76.0')",0.3268444047408291
"('C36.0', 'C51.0', 'C76.0')",0.006676040782436757
"('C36.0', 'C51.0', 'C69.0', 'C76.0')",0.003088098679643281
"('-1382799058_0', 'C99.0', 'C75.0')",0.28986563507632357
"('-1382799058_0', 'C66.0', 'C99.0', 'C75.0')",0.7769371384966516
"('1680295840_0', 'C66.0', '12 hydro')",1.3620325330237577
"('-724931943_0', 'C66.0', 'C75.0', '13 hydro', '1 hydro', '4 hydro')",0.02350829852838615
"('-1852926576_0', 'C68.0', '13 hydro')",0.019595039652175274
"('-929792848_0', 'C41.0', 'C74.0', 'C84.0')",0.270383490685153
"('-929792848_0', 'C74.0', 'C84.0')",0.4820201674174631
"('-1559876706_0', 'C97.0')",0.006949172409780431
"('-1559876706_0', 'C69.0')",0.02485784639250619
"('2009226556_0', 'C58.0')",2.4490536508089686
"('869106671_0', 'C94.0')",0.07580748069126686
"('-413285834_0', 'C94.0')",0.0023200577304446596
"('-251780797_0', 'C48.0', 'C70.0', 'C80.0')",0.216166139714963
"('-251780797_0', 'C48.0', 'C70.0', 'C78.0', 'C80.0')",0.021483146813322945
"('-251780797_0', 'C48.0', 'C78.0', 'C80.0')",0.022169545327814375
"('1286796265_0', '-251780797_0', 'C48.0', 'C78.0', 'C80.0')",0.022971380238127493
"('-1382799058_0', '935740859_0')",0.1961433063762597
"('94044364_0', '935740859_0')",0.18645544431507688
"('1872975398_0', 'C41.0')",0.018136998630267045
"('1007144354_0', '13 hydro')",2.9778693142880632
"('1007144354_0', '1309316397_0', '13 hydro')",0.48116009223959966
"('-929792848_0', '13 hydro')",0.9246221931515769
"('-964455789_0', '-925448157_0', 'C109.0')",0.03822533576125124
"('-925448157_0', 'C109.0')",0.011114246512803674
"('2009226556_0', 'C85.0')",6.647055736415089
"('C46.0', 'C67.0', '15 hydro')",0.00037717141119765073
"('2140782312_0', 'C46.0', 'C75.0', '15 hydro')",0.0008300273125678359
"('-1282014296_0', 'C46.0', 'C75.0', '15 hydro')",0.9131410621609932
"('-1282014296_0', 'C46.0', '15 hydro')",0.42849912882253194
"('2009226556_0', 'C51.0', '22 hydro')",3.308178523389231
"('2009226556_0', '-925448157_0', 'C51.0', '22 hydro')",0.6715836921700652
"('2009226556_0', '22 hydro')",2.841389230502083
"('2009226556_0', 'C71.0')",9.358593664945218
"('1309316397_0', 'C30.0', '19 hydro')",0.2991639713844488
"('1309316397_0', '19 hydro')",0.00015760115951025
"('1117936324_0', '-12578261_0')",0.1259376904163364
"('1117936324_0', '-12578261_0', '104355897_0')",0.033689764120583734
"('-12578261_0', '104355897_0')",0.14663676330330622
"('94044364_0', '-925448157_0', 'C88.0')",0.16376758269854963
"('2000149022_0', '94044364_0', 'C59.0')",0.12312491807983769
"('2000149022_0', 'C59.0')",1.9457221296889804
"('-753810532_0', 'C29.0', 'C59.0', 'C64.0', 'C100.0')",0.5541413002719319
"('1725610665_0', 'C36.0', 'C40.0', 'C72.0')",0.5106578281566194
"('-646530031_0', '104355897_0')",0.09844234683870831
"('-646530031_0', '1118471612_0', '104355897_0')",0.009674163644114287
"('1118471612_0', '104355897_0')",0.13671534729941776
"('531108144_0', 'C40.0')",0.1462075204561561
"('531108144_0', 'C40.0', '19 hydro')",0.1400405482165611
"('531108144_0', 'C70.0', 'C40.0', '19 hydro')",0.2545239400493495
"('531108144_0', 'C70.0', '19 hydro')",1.0278908914149474
"('-1008369492_0', '433304102_0', 'C80.0')",0.009856409418396652
"('-2004087020_0', 'C78.0')",0.40913841591447453
"('2000149022_0', '15 hydro')",1.422793233360618
"('1689922187_0', 'C32.0')",2.883989179125972
"('1689922187_0', 'C32.0', 'C47.0')",2.6581394212586877
"('1689922187_0', 'C32.0', 'C35.0', 'C47.0')",0.5906689090229648
"('869106671_0', 'C58.0', 'C84.0', 'C85.0', '2 hydro')",0.014676410165798416
"('869106671_0', 'C58.0', 'C85.0', '2 hydro')",0.007760002347245973
"('869106671_0', 'C58.0', 'C85.0', '2 hydro', '18 hydro')",0.008468595405566702
"('-1389783646_0', 'C48.0')",0.3917147619782954
"('-1389783646_0', 'C48.0', '24 hydro')",0.9347966378722559
"('-1389783646_0', 'C48.0', '24 hydro', '16 hydro')",0.280918874309461
"('94044364_0', 'C41.0')",0.44964575913821136
"('531108144_0', 'C36.0', 'C64.0')",0.6564798836755844
"('531108144_0', 'C36.0')",0.34518916096056906
"('-753810532_0', 'C84.0')",2.06838904855881
"('2009226556_0', 'C67.0')",1.0020863379241154
"('-1581250990_0', 'C71.0')",0.02782005117915014
"('1689922187_0', '2 hydro')",0.2049561794598394
"('1689922187_0', '2 hydro', '14 hydro')",0.12912688356494437
"('-1698692648_0', 'C31.0', 'C97.0', '27 hydro')",0.02042586743021025
"('-1698692648_0', 'C31.0', 'C100.0', 'C97.0', '27 hydro')",0.0036947752796013447
"('-1559876706_0', 'C78.0')",0.033752709104601306
"('-1617796573_0', 'C50.0', 'C62.0', 'C68.0')",0.037897146609795075
"('1342391373_0', '12 hydro')",0.5048004765615951
"('-1578860216_0', 'C50.0', 'C62.0', '5 hydro')",1.0493200121454858
"('1183053792_0', 'C50.0', 'C62.0', '5 hydro')",0.0622260466083444
"('1007144354_0', '1183053792_0', 'C50.0', 'C62.0', '5 hydro')",0.359174050122655
"('1007144354_0', 'C50.0', 'C62.0', '5 hydro')",1.4783634779260668
"('2009226556_0', '37-1 hydro')",1.134444732116516
"('-1953944760_0', '-1698692648_0', 'C82.0', '37-1 hydro')",0.02407163502290496
"('-1698692648_0', 'C82.0', '37-1 hydro')",0.06715615191958818
"('1872975398_0', 'C61.0', '9 hydro')",0.04051349197306786
"('2009226556_0', 'C96.0', '21 hydro')",1.0103573207517575
"('1342391373_0', 'C96.0')",2.1373471410476443
"('2009226556_0', 'C39.0', 'C99.0')",0.9558451152369392
"('2009226556_0', 'C66.0', 'C39.0', 'C99.0')",0.42720580928697294
"('2009226556_0', 'C39.0')",4.3598018398847
"('C60.0', 'C64.0', 'C39.0')",0.007569324092659372
"('2009226556_0', 'C60.0', 'C39.0')",0.04493621610307309
"('-1452859278_0', 'C36.0', 'C65.0', '20 hydro')",0.05804479125463604
"('-753810532_0', '20 hydro')",0.5565696633923877
"('-2037512606_0', 'C70.0')",0.007726814003738582
"('1007144354_0', 'C29.0', 'C51.0', 'C82.0', 'C83.0')",2.474496102517032
"('-1389783646_0', '2009226556_0', 'C85.0')",1.3726771995384812
"('2000149022_0', '21 hydro')",2.104065157909806
"('-382422293_0', '10 hydro')",0.2588210969951481
"('-1282014296_0', 'C84.0')",2.860268579701858
"('-1282014296_0', 'C83.0')",0.0991564578702314
"('-393847358_0', 'C90.0', 'C88.0')",0.06046339661901175
"('-393847358_0', 'C34.0', 'C90.0', 'C88.0')",0.16164437847448132
"('-1610587687_0', 'C35.0', 'C90.0')",0.13360445625234435
"('104355897_0', 'C35.0', '23 hydro')",0.06506470917896218
"('C35.0', 'C63.0', 'C65.0', '23 hydro')",0.03796239641910961
"('C60.0', 'C63.0', 'C65.0')",0.03930707711719561
"('94044364_0', 'C49.0', 'C39.0')",0.6521865869851378
"('1309316397_0', 'C70.0', 'C96.0')",0.14560708028439193
"('-1003233322_0', 'C58.0')",0.15044989919602586
"('2009226556_0', 'C77.0')",0.3782635682818236
"('-382422293_0', 'C32.0', 'C58.0', 'C68.0', 'C78.0', '7 hydro')",0.04026134925182441
"('-382422293_0', 'C32.0', 'C68.0', 'C78.0', '7 hydro')",0.7931951575419552
"('-1234324271_0', 'C68.0')",0.007979480689552475
"('-1234324271_0', '-1359706950_0', 'C68.0')",0.06473603722760936
"('-1234324271_0', '2009226556_0')",1.2060726492762488
"('-890252095_0', 'C59.0')",0.0050505904303677195
"('1117936324_0', 'C74.0', 'C94.0')",0.015141304187587593
"('-1617796573_0', 'C58.0', 'C66.0')",0.024520756076243287
"('2035876983_0', 'C66.0')",0.3404303003975401
"('-753810532_0', 'C29.0', 'C50.0', 'C62.0', 'C41.0')",0.787633402334968
